"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2"
"132",132,"E30254012000000000005231616306700","2000","13.5.2005",7338009,49.584225,8.290069,113,70,733806013,67259,"Heuchelheim",2000,"2005-05-13",2355899,210,2356,44100,0.0441,53.421746031746
"133",133,"E30254013000000000005231616306700","2000","21.4.2005",7338013,49.586063,8.28925,98,70,733806013,67259,"Heuchelheim",2000,"2005-05-03",2255677,199,2256,39601,0.039601,56.9601020176258
"134",134,"E30254014000000000005231616306700","2000","15.4.2005",7338013,49.58453,8.284287,98,70,733806013,67259,"Heuchelheim",2000,"2005-04-15",2255674,278,2256,77284,0.077284,29.1868174525128
"135",135,"E30254015000000000005231616306700","800","3.2.2005",7338013,49.583,8.29124,76,48,733806013,67259,"Heuchelheim",800,"2005-02-03",903367,210,903,44100,0.0441,20.4845124716553
"137",137,"E3025401WEA0000000000ESSELBORN001","3075","16.10.2013",7331022,49.702394,8.115272,140,112,733101022,55234,"Esselborn",3075,"2013-10-16",7476259,561,7476,314721,0.314721,23.7551958718992
"138",138,"E3025401WEA0000000000ESSELBORN002","3075","17.10.2013",7331022,49.699907,8.108869,140,112,733101022,55234,"Esselborn",3075,"2013-10-17",7476254,452,7476,204304,0.204304,36.5937720260005
"139",139,"E3025401WEA0000000000OBERHAUSEN01","3075","2.4.2014",7333053,49.723831,7.852142,140,112,733307053,67822,"Oberhausen",3075,"2014-04-02",6245691,673,6246,452929,0.452929,13.7895586283943
"140",140,"E3025401WEA0000000000OBERHAUSEN02","3075","11.4.2014",7333053,49.715885,7.848181,140,112,733307053,67822,"Oberhausen",3075,"2014-04-11",6245686,600,6246,360000,0.36,17.3491277777778
"141",141,"E3025401WEA000000000HUNGERBERG001","3075","27.12.2013",7333010,49.647127,8.041429,140,112,733304010,67295,"Bolanden",3075,"2013-12-27",6542120,736,6542,541696,0.541696,12.0771059782609
"142",142,"E3025401WEA000000000HUNGERBERG004","3075","31.1.2014",7333022,49.654588,8.045203,140,112,733304022,67294,"Gauersheim",3075,"2014-01-31",6533594,429,6534,184041,0.184041,35.5007525497036
"143",143,"E3025401WEA000000000HUNGERBERG005","3075","31.1.2014",7333062,49.658403,8.048717,140,112,733304062,67294,"Rittersheim",3075,"2014-01-31",6533594,481,6534,231361,0.231361,28.2398243437744
